Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2025-09-12,Snacks,449.2,11.5,2.9,5.0,2.5,0.0,9.8,739.7,222.2,68.5,0.6,27.9,19.6,0.0,0.0,14.0,6.9,
2025-09-20,Breakfast,418.0,17.0,3.0,1.5,12.0,0.0,6.0,507.0,789.0,46.6,3.0,18.4,21.8,12.0,12.0,44.0,12.0,
2025-09-20,Dinner,873.3,37.6,13.7,0.1,2.5,0.0,40.0,762.4,490.5,129.7,2.0,70.5,14.2,14.0,12.0,29.5,22.5,
2025-09-20,Lunch,1047.0,45.2,11.3,0.5,0.1,0.0,71.0,3373.0,1309.8,91.4,29.3,4.0,68.6,0.3,19.1,14.9,44.9,
2025-09-26,Breakfast,418.0,17.0,3.0,1.5,12.0,0.0,6.0,507.0,789.0,46.6,3.0,18.4,21.8,12.0,12.0,44.0,12.0,
2025-09-26,Dinner,976.0,39.0,21.3,0.0,0.0,0.3,112.9,2445.2,0.0,109.8,6.1,9.8,57.0,41.0,4.0,34.0,26.0,
2025-09-26,Lunch,955.0,42.0,7.0,0.0,0.0,0.0,17.5,815.0,2240.5,111.5,34.0,38.0,34.5,0.0,0.0,25.7,49.4,
2025-09-29,Breakfast,418.0,17.0,3.0,1.5,12.0,0.0,6.0,507.0,789.0,46.6,3.0,18.4,21.8,12.0,12.0,44.0,12.0,
2025-09-29,Lunch,1038.5,31.7,8.2,6.4,2.7,0.0,5.0,1038.1,998.9,114.1,18.2,21.7,73.8,1.1,5.0,9.5,69.2,
2025-09-29,Snacks,687.5,19.4,11.1,1.3,4.5,0.0,92.0,132.7,539.4,102.5,6.1,56.5,29.2,29.9,26.5,25.4,6.3,
2025-09-30,Breakfast,418.0,17.0,3.0,1.5,12.0,0.0,6.0,507.0,789.0,46.6,3.0,18.4,21.8,12.0,12.0,44.0,12.0,
2025-09-30,Dinner,769.5,44.0,27.5,0.0,0.0,0.0,164.9,1484.1,412.3,57.7,2.7,5.5,35.7,27.5,0.0,55.0,27.5,
2025-09-30,Lunch,792.9,29.1,9.2,1.7,2.1,0.0,133.6,2051.4,793.5,76.2,14.1,6.1,53.7,24.0,26.0,29.4,37.2,
2025-09-30,Snacks,340.2,3.7,2.1,0.2,0.0,0.0,20.0,212.7,553.0,57.7,7.4,35.2,22.5,0.0,27.3,21.1,2.5,
2025-10-01,Breakfast,418.0,17.0,3.0,1.5,12.0,0.0,6.0,507.0,789.0,46.6,3.0,18.4,21.8,12.0,12.0,44.0,12.0,
2025-10-01,Dinner,684.6,15.7,3.9,2.0,5.1,0.0,35.0,994.6,1173.5,99.3,28.2,47.6,45.2,273.8,28.0,46.8,14.9,
2025-10-01,Lunch,1227.6,44.3,23.0,1.0,0.0,0.0,125.0,3132.1,1638.0,153.9,9.1,80.5,47.9,30.6,59.1,39.9,35.0,
2025-10-02,Breakfast,430.0,17.0,3.0,1.5,12.0,0.0,7.5,525.0,885.0,40.0,3.0,13.0,30.5,0.1,0.0,8.6,12.0,
2025-10-02,Dinner,599.2,12.7,3.0,1.8,3.8,0.0,48.3,1372.5,1242.0,85.7,28.4,10.9,39.4,222.7,5.3,8.2,22.3,
2025-10-02,Lunch,1008.9,50.3,9.2,2.8,7.5,0.0,17.5,1270.5,1246.9,91.5,15.3,57.0,51.7,0.0,15.3,24.3,22.1,
2025-10-02,Snacks,197.6,3.5,2.0,0.3,0.1,0.0,20.0,106.8,557.4,21.8,4.1,15.8,21.2,0.4,176.4,22.4,4.1,
2025-10-03,Breakfast,418.0,17.0,3.0,1.5,12.0,0.0,6.0,507.0,789.0,46.6,3.0,18.4,21.8,12.0,12.0,44.0,12.0,
2025-10-03,Dinner,1195.9,58.3,24.5,0.0,0.0,0.1,102.6,3191.0,0.0,126.6,9.1,22.5,50.4,69.0,2.0,40.2,78.0,
2025-10-03,Lunch,796.7,10.9,3.6,0.6,1.3,0.0,90.8,1371.2,1947.9,113.1,33.2,43.3,69.7,236.3,157.6,52.9,17.7,
2025-10-03,Snacks,182.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,43.4,0.0,25.2,4.2,0.0,0.0,0.0,0.0,
2025-10-04,Breakfast,418.0,17.0,3.0,1.5,12.0,0.0,6.0,507.0,789.0,46.6,3.0,18.4,21.8,12.0,12.0,44.0,12.0,
2025-10-04,Dinner,796.7,10.9,3.6,0.6,1.3,0.0,90.8,1371.2,1947.9,113.1,33.2,43.3,69.7,236.3,157.6,52.9,17.7,
2025-10-04,Lunch,1055.9,44.3,22.0,0.0,0.0,0.1,92.6,2931.0,0.0,124.6,9.1,21.5,49.4,69.0,0.0,38.2,78.0,
2025-10-04,Snacks,93.2,0.2,0.1,0.1,0.0,0.0,0.0,2.7,257.9,24.4,1.2,20.9,1.0,0.0,7.2,1.4,2.7,
2025-10-05,Breakfast,418.0,17.0,3.0,1.5,12.0,0.0,6.0,507.0,789.0,46.6,3.0,18.4,21.8,12.0,12.0,44.0,12.0,
2025-10-05,Dinner,896.4,47.3,16.3,1.2,6.9,0.0,69.2,1702.7,819.0,92.5,8.6,30.6,31.5,11.0,31.4,58.4,16.0,
2025-10-05,Lunch,796.7,10.9,3.6,0.6,1.3,0.0,90.8,1371.2,1947.9,113.1,33.2,43.3,69.7,236.3,157.6,52.9,17.7,
2025-10-05,Snacks,189.8,2.3,0.0,0.9,0.9,0.0,0.0,199.0,119.5,34.5,1.8,18.2,8.6,0.0,0.0,11.9,18.4,
2025-10-06,Breakfast,418.0,17.0,3.0,1.5,12.0,0.0,6.0,507.0,789.0,46.6,3.0,18.4,21.8,12.0,12.0,44.0,12.0,
2025-10-06,Dinner,783.2,11.1,3.6,0.9,1.3,0.0,90.8,1357.0,1927.7,110.7,35.4,38.6,69.6,236.2,50.4,53.0,18.3,
2025-10-06,Lunch,760.0,22.0,9.0,0.0,0.0,0.0,0.0,1895.0,0.0,35.0,19.0,10.0,45.0,17.0,32.0,26.0,35.0,
2025-10-06,Snacks,377.7,15.2,6.5,0.7,3.5,0.0,30.2,549.8,413.5,51.0,7.3,23.7,13.3,5.5,31.0,25.2,5.4,
2025-10-07,Breakfast,916.7,41.0,12.0,1.5,12.0,0.2,6.0,773.0,829.0,113.7,5.0,39.6,31.0,32.0,12.0,44.0,24.0,
2025-10-07,Dinner,990.0,46.0,19.0,0.0,0.0,0.0,100.0,2110.0,0.0,90.0,10.0,22.0,44.0,0.0,0.0,0.0,0.0,
2025-10-07,Lunch,1223.3,30.2,6.0,3.9,16.8,0.0,66.0,918.0,2266.2,166.3,25.4,90.6,81.5,3.2,73.1,100.1,32.5,
2025-10-07,Snacks,69.3,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,16.5,0.0,9.6,1.6,0.0,0.0,0.0,0.0,
2025-10-08,Breakfast,418.0,17.0,3.0,1.5,12.0,0.0,6.0,507.0,789.0,46.6,3.0,18.4,21.8,12.0,12.0,44.0,12.0,
2025-10-08,Dinner,562.5,22.5,3.4,0.0,0.0,0.0,90.0,900.0,916.0,38.3,6.8,27.0,42.8,0.0,0.0,13.5,24.5,
2025-10-08,Lunch,821.0,43.0,3.0,0.0,0.0,0.0,5.0,95.0,0.0,73.0,0.0,9.0,36.0,0.0,0.0,0.0,0.0,
2025-10-08,Snacks,379.9,9.5,1.3,1.1,8.9,0.0,0.0,668.5,870.4,56.8,14.6,23.4,12.7,6.0,18.4,6.0,13.0,
2025-10-09,Breakfast,418.0,17.0,3.0,1.5,12.0,0.0,6.0,507.0,789.0,46.6,3.0,18.4,21.8,12.0,12.0,44.0,12.0,
2025-10-09,Dinner,888.0,29.2,10.2,0.0,0.0,0.0,0.0,1947.0,0.0,50.2,19.8,10.0,46.6,17.0,32.0,27.6,36.6,
2025-10-09,Lunch,700.9,29.5,5.7,4.1,17.4,0.0,20.0,862.2,931.0,74.4,15.0,30.4,39.9,6.0,18.4,27.9,18.7,
2025-10-09,Snacks,396.7,2.5,1.0,0.0,0.0,0.0,45.0,285.0,1070.0,56.7,5.0,36.0,42.0,0.0,0.0,57.0,10.0,
2025-10-10,Breakfast,418.0,17.0,3.0,1.5,12.0,0.0,6.0,507.0,789.0,46.6,3.0,18.4,21.8,12.0,12.0,44.0,12.0,
2025-10-10,Dinner,976.0,39.0,21.3,0.0,0.0,0.3,112.9,2445.2,0.0,109.8,6.1,9.8,57.0,41.0,4.0,34.0,26.0,
2025-10-10,Lunch,689.9,19.5,7.3,1.1,8.9,0.0,40.0,1388.5,430.4,88.8,17.6,11.4,40.7,6.0,18.4,6.0,13.0,
2025-10-10,Snacks,209.3,3.0,2.0,0.0,0.0,0.0,20.0,113.0,282.0,24.5,0.5,16.6,21.6,0.0,0.0,19.5,0.0,
2025-10-11,Breakfast,418.0,17.0,3.0,1.5,12.0,0.0,6.0,507.0,789.0,46.6,3.0,18.4,21.8,12.0,12.0,44.0,12.0,
2025-10-11,Dinner,667.5,34.3,7.8,6.0,2.5,0.0,80.0,1277.5,807.3,58.0,7.3,15.5,34.5,0.0,0.0,29.0,24.2,
2025-10-11,Lunch,1055.9,44.3,22.0,0.0,0.0,0.1,92.6,2931.0,0.0,124.6,9.1,21.5,49.4,69.0,0.0,38.2,78.0,
2025-10-11,Snacks,184.7,0.2,0.0,0.0,0.0,0.0,0.0,11.7,185.8,44.2,4.0,29.8,2.4,3.2,0.0,1.2,1.1,
2025-10-12,Breakfast,418.0,17.0,3.0,1.5,12.0,0.0,6.0,507.0,789.0,46.6,3.0,18.4,21.8,12.0,12.0,44.0,12.0,
2025-10-12,Dinner,806.7,32.9,8.0,0.9,4.0,1.0,75.5,669.6,1100.9,89.0,6.0,10.4,35.1,2.5,58.3,3.5,21.6,
2025-10-12,Lunch,519.9,12.5,3.3,1.1,8.9,0.0,20.0,773.5,1152.4,64.8,15.1,30.4,32.7,6.0,18.4,25.5,13.0,
2025-10-12,Snacks,548.4,4.2,1.1,0.9,0.8,0.0,45.0,444.5,1261.3,83.4,7.4,49.7,47.4,3.6,150.3,67.2,21.0,
2025-10-13,Breakfast,418.0,17.0,3.0,1.5,12.0,0.0,6.0,507.0,789.0,46.6,3.0,18.4,21.8,12.0,12.0,44.0,12.0,
2025-10-13,Dinner,806.7,32.9,8.0,0.9,4.0,1.0,75.5,669.6,1100.9,89.0,6.0,10.4,35.1,2.5,58.3,3.5,21.6,
2025-10-13,Lunch,760.0,22.0,9.0,0.0,0.0,0.0,0.0,1895.0,0.0,35.0,19.0,10.0,45.0,17.0,32.0,26.0,35.0,
2025-10-13,Snacks,300.7,3.8,2.5,0.0,0.0,0.0,42.5,237.0,582.0,27.0,0.5,19.4,39.9,0.0,0.0,44.0,1.1,
2025-10-14,Breakfast,418.0,17.0,3.0,1.5,12.0,0.0,6.0,507.0,789.0,46.6,3.0,18.4,21.8,12.0,12.0,44.0,12.0,
2025-10-14,Dinner,865.9,37.0,19.6,3.6,2.8,0.0,108.7,2537.4,439.4,100.0,5.0,31.3,33.6,42.9,12.0,43.6,26.8,
2025-10-14,Lunch,792.9,29.1,9.2,1.7,2.1,0.0,133.6,2051.4,793.5,76.2,14.1,6.1,53.7,24.0,26.0,29.4,37.2,
2025-10-14,Snacks,272.0,3.0,2.0,0.0,0.0,0.0,20.0,111.0,722.0,34.4,4.5,30.2,23.2,0.0,0.0,19.5,0.0,
2025-10-15,Breakfast,418.0,17.0,3.0,1.5,12.0,0.0,6.0,507.0,789.0,46.6,3.0,18.4,21.8,12.0,12.0,44.0,12.0,
2025-10-15,Dinner,670.0,35.0,7.0,0.0,0.0,0.0,125.0,1555.0,1027.0,31.5,7.0,10.5,46.5,0.0,0.0,24.8,31.4,
2025-10-15,Lunch,888.2,39.0,2.0,5.4,3.8,0.0,112.9,1220.5,825.1,89.0,7.7,19.2,48.5,120.2,37.1,14.3,19.3,
2025-10-15,Snacks,166.0,3.0,2.0,0.0,0.0,0.0,20.0,108.0,282.0,14.2,0.5,10.6,20.6,0.0,0.0,19.5,0.0,
2025-10-16,Breakfast,418.0,17.0,3.0,1.5,12.0,0.0,6.0,507.0,789.0,46.6,3.0,18.4,21.8,12.0,12.0,44.0,12.0,
2025-10-16,Dinner,945.0,28.8,9.9,0.0,0.0,0.0,0.0,2005.0,0.0,64.6,21.3,19.5,47.0,17.0,32.5,27.0,36.5,
2025-10-16,Lunch,836.7,19.7,7.0,2.8,3.8,0.0,121.3,2054.0,1949.0,91.7,9.8,37.9,76.0,3.6,150.3,92.1,20.9,
2025-10-16,Snacks,140.0,3.0,2.0,0.0,0.0,0.0,20.0,105.0,282.0,8.0,0.5,7.0,20.0,0.0,0.0,19.5,0.0,
2025-10-17,Breakfast,418.0,17.0,3.0,1.5,12.0,0.0,6.0,507.0,789.0,46.6,3.0,18.4,21.8,12.0,12.0,44.0,12.0,
2025-10-17,Dinner,1072.7,49.0,22.9,5.8,2.1,0.3,118.7,2647.9,14.4,111.1,6.1,10.9,57.3,41.0,4.0,34.6,26.4,
2025-10-17,Lunch,768.0,35.2,7.0,0.0,0.0,0.0,125.0,1556.7,1212.8,55.0,11.0,28.3,46.9,3.2,0.0,26.0,32.5,
2025-10-17,Snacks,139.2,10.0,1.6,5.8,2.1,0.0,5.8,207.7,14.4,12.6,0.3,9.6,0.3,0.0,0.0,0.6,0.4,
2025-10-18,Breakfast,418.0,17.0,3.0,1.5,12.0,0.0,6.0,507.0,789.0,46.6,3.0,18.4,21.8,12.0,12.0,44.0,12.0,
2025-10-18,Dinner,644.3,11.6,2.4,1.2,8.9,0.0,45.0,931.0,1552.9,87.4,15.7,35.8,49.7,9.6,133.7,62.2,17.2,
2025-10-18,Lunch,976.0,39.0,21.3,0.0,0.0,0.3,112.9,2445.2,0.0,109.8,6.1,9.8,57.0,41.0,4.0,34.0,26.0,
2025-10-18,Snacks,317.3,14.5,7.2,1.4,4.3,0.0,68.8,199.6,130.8,45.8,1.2,35.2,3.3,0.0,3.1,2.6,7.9,
2025-10-19,Breakfast,418.0,17.0,3.0,1.5,12.0,0.0,6.0,507.0,789.0,46.6,3.0,18.4,21.8,12.0,12.0,44.0,12.0,
2025-10-19,Dinner,790.0,44.0,14.0,0.0,0.0,0.0,190.0,2110.0,0.0,57.0,4.0,6.0,45.0,0.0,0.0,0.0,0.0,
2025-10-19,Lunch,604.9,11.4,2.4,1.2,8.9,0.0,45.0,919.7,1452.8,78.8,13.7,29.8,49.0,9.5,28.7,60.9,15.5,
2025-10-19,Snacks,546.1,19.4,9.2,2.5,4.5,0.0,88.8,277.4,773.3,72.7,20.8,39.7,26.7,0.0,123.0,28.4,16.6,
2025-10-20,Breakfast,418.0,17.0,3.0,1.5,12.0,0.0,6.0,507.0,789.0,46.6,3.0,18.4,21.8,12.0,12.0,44.0,12.0,
2025-10-20,Dinner,604.9,11.4,2.4,1.2,8.9,0.0,45.0,919.7,1452.8,78.8,13.7,29.8,49.0,9.5,28.7,60.9,15.5,
2025-10-20,Lunch,821.0,41.3,5.0,0.2,0.0,0.0,0.0,195.2,82.0,77.4,6.5,0.6,39.3,0.0,0.0,0.2,2.7,
2025-10-20,Snacks,643.2,24.9,12.6,0.1,1.1,0.0,57.3,360.3,391.1,77.1,4.1,51.0,26.1,17.1,73.2,26.3,13.3,
2025-10-21,Breakfast,418.0,17.0,3.0,1.5,12.0,0.0,6.0,507.0,789.0,46.6,3.0,18.4,21.8,12.0,12.0,44.0,12.0,
2025-10-21,Dinner,716.6,12.2,2.3,1.8,5.3,0.0,193.2,799.1,1314.5,81.0,4.0,25.4,66.2,5.3,181.3,6.7,21.8,
2025-10-21,Lunch,937.9,42.9,17.7,4.1,3.4,0.0,110.0,569.9,552.6,74.6,5.7,8.8,60.5,0.0,71.3,10.8,46.1,
2025-10-22,Breakfast,418.0,17.0,3.0,1.5,12.0,0.0,6.0,507.0,789.0,46.6,3.0,18.4,21.8,12.0,12.0,44.0,12.0,
2025-10-22,Dinner,857.2,26.5,9.5,2.5,13.2,0.0,113.8,1113.1,1543.7,106.6,18.8,47.6,54.0,6.0,18.5,67.6,31.5,
2025-10-22,Lunch,686.9,19.7,4.2,4.1,6.2,0.0,253.1,1912.1,841.0,48.3,5.6,5.8,73.1,11.1,37.5,10.2,28.2,
2025-10-22,Snacks,215.1,4.0,2.0,0.6,0.1,0.0,20.0,106.4,496.0,25.0,10.4,13.2,21.7,0.0,61.0,22.3,4.3,
2025-10-23,Breakfast,418.0,17.0,3.0,1.5,12.0,0.0,6.0,507.0,789.0,46.6,3.0,18.4,21.8,12.0,12.0,44.0,12.0,
2025-10-23,Dinner,902.5,28.8,9.9,0.0,0.0,0.0,0.0,2000.0,0.0,53.3,21.0,11.0,47.0,17.0,32.5,27.0,36.5,
2025-10-23,Lunch,537.9,12.7,3.3,1.1,8.9,0.0,20.0,775.2,898.2,74.3,15.1,32.2,31.1,9.2,18.4,26.7,14.1,
2025-10-23,Snacks,442.7,17.6,2.6,3.2,8.5,0.0,0.0,92.2,906.2,72.5,5.6,57.0,11.1,4.8,19.2,6.0,9.9,
2025-10-24,Breakfast,418.0,17.0,3.0,1.5,12.0,0.0,6.0,507.0,789.0,46.6,3.0,18.4,21.8,12.0,12.0,44.0,12.0,
2025-10-24,Dinner,1152.6,54.3,23.6,5.8,2.1,0.1,98.4,3133.7,14.4,125.9,9.1,22.6,49.7,69.0,0.0,38.8,78.4,
2025-10-24,Lunch,610.0,13.0,8.0,0.0,0.0,0.0,60.0,825.0,722.0,68.0,11.5,27.0,52.0,0.0,0.0,44.5,20.0,
2025-10-24,Snacks,473.3,37.0,5.0,23.8,7.5,0.0,0.0,0.0,146.7,38.7,5.3,0.0,5.3,0.0,0.0,0.0,5.9,
2025-10-25,Breakfast,418.0,17.0,3.0,1.5,12.0,0.0,6.0,507.0,789.0,46.6,3.0,18.4,21.8,12.0,12.0,44.0,12.0,
2025-10-25,Dinner,396.2,5.3,0.0,2.1,2.1,0.0,5.0,562.7,674.1,56.6,4.2,31.3,29.9,0.0,0.0,65.4,42.2,
2025-10-25,Lunch,1055.9,44.3,22.0,0.0,0.0,0.1,92.6,2931.0,0.0,124.6,9.1,21.5,49.4,69.0,0.0,38.2,78.0,
2025-10-25,Snacks,238.0,3.2,2.0,0.0,0.0,0.0,20.0,106.7,467.8,31.5,4.5,24.8,20.4,3.2,0.0,20.7,1.1,
2025-10-26,Breakfast,418.0,17.0,3.0,1.5,12.0,0.0,6.0,507.0,789.0,46.6,3.0,18.4,21.8,12.0,12.0,44.0,12.0,
2025-10-26,Dinner,956.2,36.4,13.3,4.6,7.9,0.1,287.6,1114.2,948.5,60.6,6.4,21.0,90.9,4.5,8.2,6.7,13.1,
2025-10-26,Lunch,945.0,34.0,4.5,0.0,0.0,0.0,135.0,1830.0,2100.5,78.0,15.5,45.0,83.0,0.0,0.0,75.9,41.4,
2025-10-26,Snacks,57.8,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,13.3,0.0,8.4,1.3,0.0,0.0,0.0,0.0,
2025-10-27,Breakfast,418.0,17.0,3.0,1.5,12.0,0.0,6.0,507.0,789.0,46.6,3.0,18.4,21.8,12.0,12.0,44.0,12.0,
2025-10-27,Dinner,887.3,51.3,26.8,4.9,10.2,0.1,749.7,1204.2,557.5,58.7,3.1,12.4,43.0,289.4,212.6,142.9,23.7,
2025-10-27,Lunch,760.0,22.0,9.0,0.0,0.0,0.0,0.0,1895.0,0.0,35.0,19.0,10.0,45.0,17.0,32.0,26.0,35.0,
2025-10-27,Snacks,228.5,4.1,2.0,0.6,0.1,0.0,20.0,106.7,538.8,28.3,11.6,14.5,22.0,0.0,74.3,23.8,6.5,
2025-10-28,Breakfast,418.0,17.0,3.0,1.5,12.0,0.0,6.0,507.0,789.0,46.6,3.0,18.4,21.8,12.0,12.0,44.0,12.0,
2025-10-28,Dinner,747.5,39.5,9.0,6.0,2.5,0.0,93.8,1060.0,825.3,60.3,5.5,22.5,37.3,0.0,0.0,26.0,23.6,
2025-10-28,Lunch,1028.0,48.8,1.4,0.0,0.0,0.0,0.0,168.0,0.0,92.2,9.2,1.6,45.2,0.0,0.8,1.6,2.4,
2025-10-29,Breakfast,418.0,17.0,3.0,1.5,12.0,0.0,6.0,507.0,789.0,46.6,3.0,18.4,21.8,12.0,12.0,44.0,12.0,
2025-10-29,Dinner,791.0,16.1,2.5,3.3,4.0,0.0,206.8,1189.5,1570.7,75.6,8.3,10.5,81.2,453.2,484.3,12.4,30.6,
2025-10-29,Lunch,860.0,40.0,6.0,0.0,0.0,0.0,90.0,1180.0,1336.0,68.0,12.0,48.0,48.0,0.0,0.0,24.0,34.2,
2025-10-29,Snacks,141.9,2.4,0.0,0.9,0.9,0.0,0.0,198.6,123.0,22.7,1.9,11.4,7.6,0.0,0.0,12.3,18.9,
2025-10-30,Breakfast,418.0,17.0,3.0,1.5,12.0,0.0,6.0,507.0,789.0,46.6,3.0,18.4,21.8,12.0,12.0,44.0,12.0,
2025-10-30,Dinner,1190.8,69.1,1.9,4.4,4.9,0.0,0.0,172.2,474.8,103.0,3.1,0.2,40.8,0.0,6.4,1.5,3.7,
2025-10-30,Lunch,816.0,26.2,9.0,0.0,0.0,0.0,0.0,2014.0,0.0,36.4,19.0,10.0,50.6,17.0,32.0,26.0,35.0,
2025-10-30,Snacks,227.8,3.5,2.0,0.2,0.1,0.0,20.0,101.5,400.6,31.3,5.7,22.3,21.1,0.0,24.9,20.4,4.4,
